IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[General] Serving Network (In Traffic),[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] PCI,[Call Test] [Voice Quality] [Per Rx Clip] [RF Quality] 5G RSRP,[Call Test] [Voice Quality] [Per Rx Clip] [RF Quality] 5G SINR,[NR5G] [System] Band,[NR5G] [RF] PCI,[Call Test] [Voice Quality] [UL MOS] MOS,[Call Test] [Voice Quality] [Per Rx Clip] MOS Value,[Call Test] [Voice Quality] [Per Rx Clip] Mouth to Ear Delay (Avg)
1,1,,,-121.9331284,47.5260217,2025-12-10 23:22:49.000,_20251210_152244_CH06_TMO_5GNR_WFC-MT_REF-2_TC151-1.dml,,,,,,,,,,
2,1,,,-121.9331284,47.5260217,2025-12-10 23:22:50.000,_20251210_152244_CH06_TMO_5GNR_WFC-MT_REF-2_TC151-1.dml,,,,,,25,594,,,
3,1,,,-121.9331284,47.5260217,2025-12-10 23:22:51.000,_20251210_152244_CH06_TMO_5GNR_WFC-MT_REF-2_TC151-1.dml,,,,,,,,,,
4,1,,,-121.9331284,47.5260217,2025-12-10 23:22:52.000,_20251210_152244_CH06_TMO_5GNR_WFC-MT_REF-2_TC151-1.dml,,,,,,25,594,,,
5,1,,,-121.9331284,47.5260217,2025-12-10 23:22:53.000,_20251210_152244_CH06_TMO_5GNR_WFC-MT_REF-2_TC151-1.dml,,,,,,25,594,,,
6,1,,,-121.9331284,47.5260217,2025-12-10 23:22:54.000,_20251210_152244_CH06_TMO_5GNR_WFC-MT_REF-2_TC151-1.dml,,,,,,25,594,,,
7,1,,,-121.9331284,47.5260217,2025-12-10 23:22:55.000,_20251210_152244_CH06_TMO_5GNR_WFC-MT_REF-2_TC151-1.dml,,,,,,25,594,,,
8,1,,,-121.9331284,47.5260217,2025-12-10 23:22:56.000,_20251210_152244_CH06_TMO_5GNR_WFC-MT_REF-2_TC151-1.dml,,,,,,,,,,
9,1,,,-121.9331284,47.5260217,2025-12-10 23:22:57.000,_20251210_152244_CH06_TMO_5GNR_WFC-MT_REF-2_TC151-1.dml,,,,,,25,594,,,
10,1,,,-121.9331284,47.5260217,2025-12-10 23:22:58.000,_20251210_152244_CH06_TMO_5GNR_WFC-MT_REF-2_TC151-1.dml,,,,,,25,594,,,
11,1,,,-121.9331284,47.5260217,2025-12-10 23:22:59.000,_20251210_152244_CH06_TMO_5GNR_WFC-MT_REF-2_TC151-1.dml,,,,,,25,594,,,
12,1,,,-121.9331284,47.5260217,2025-12-10 23:23:00.000,_20251210_152244_CH06_TMO_5GNR_WFC-MT_REF-2_TC151-1.dml,,,,,,25,594,,,
13,1,,,-121.9331284,47.5260217,2025-12-10 23:23:01.000,_20251210_152244_CH06_TMO_5GNR_WFC-MT_REF-2_TC151-1.dml,,,,,,,,,,
14,1,,,-121.9331284,47.5260217,2025-12-10 23:23:02.000,_20251210_152244_CH06_TMO_5GNR_WFC-MT_REF-2_TC151-1.dml,,,,,,25,594,,,
15,1,,,-121.9331284,47.5260217,2025-12-10 23:23:03.000,_20251210_152244_CH06_TMO_5GNR_WFC-MT_REF-2_TC151-1.dml,,,,,,25,594,,,
16,1,,,-121.9331284,47.5260217,2025-12-10 23:23:04.000,_20251210_152244_CH06_TMO_5GNR_WFC-MT_REF-2_TC151-1.dml,,,,,,25,594,,,
17,1,,,-121.9331284,47.5260217,2025-12-10 23:23:05.000,_20251210_152244_CH06_TMO_5GNR_WFC-MT_REF-2_TC151-1.dml,,,,,,25,594,,,
18,1,,,-121.9331284,47.5260217,2025-12-10 23:23:06.000,_20251210_152244_CH06_TMO_5GNR_WFC-MT_REF-2_TC151-1.dml,,,,,,,,,,
19,1,,,-121.9331284,47.5260217,2025-12-10 23:23:07.000,_20251210_152244_CH06_TMO_5GNR_WFC-MT_REF-2_TC151-1.dml,NR SA,,,,,25,594,,,
20,1,,,-121.9331284,47.5260217,2025-12-10 23:23:08.000,_20251210_152244_CH06_TMO_5GNR_WFC-MT_REF-2_TC151-1.dml,NR SA,,,,,25,594,,,
21,1,,,-121.9331284,47.5260217,2025-12-10 23:23:09.000,_20251210_152244_CH06_TMO_5GNR_WFC-MT_REF-2_TC151-1.dml,NR SA,,,,,25,594,,,
22,1,,,-121.9331284,47.5260217,2025-12-10 23:23:10.000,_20251210_152244_CH06_TMO_5GNR_WFC-MT_REF-2_TC151-1.dml,NR SA,,,,,,,,,
23,1,,,-121.9331284,47.5260217,2025-12-10 23:23:11.000,_20251210_152244_CH06_TMO_5GNR_WFC-MT_REF-2_TC151-1.dml,NR SA,,,,,25,594,,,
24,1,,,-121.9331284,47.5260217,2025-12-10 23:23:12.000,_20251210_152244_CH06_TMO_5GNR_WFC-MT_REF-2_TC151-1.dml,NR SA,,,,,25,594,,,
25,1,,,-121.9331284,47.5260217,2025-12-10 23:23:13.000,_20251210_152244_CH06_TMO_5GNR_WFC-MT_REF-2_TC151-1.dml,NR SA,,,,,25,594,,,
26,1,,,-121.9331284,47.5260217,2025-12-10 23:23:14.000,_20251210_152244_CH06_TMO_5GNR_WFC-MT_REF-2_TC151-1.dml,NR SA,,,,,25,594,,,
27,1,,,-121.9331284,47.5260217,2025-12-10 23:23:15.000,_20251210_152244_CH06_TMO_5GNR_WFC-MT_REF-2_TC151-1.dml,NR SA,,,,,,,,,
28,1,,,-121.9331284,47.5260217,2025-12-10 23:23:16.000,_20251210_152244_CH06_TMO_5GNR_WFC-MT_REF-2_TC151-1.dml,NR SA,,,,,25,594,,,
29,1,,,-121.9331284,47.5260217,2025-12-10 23:23:17.000,_20251210_152244_CH06_TMO_5GNR_WFC-MT_REF-2_TC151-1.dml,NR SA,,,,,25,594,,,
30,1,,,-121.9331284,47.5260217,2025-12-10 23:23:18.000,_20251210_152244_CH06_TMO_5GNR_WFC-MT_REF-2_TC151-1.dml,NR SA,,,,,25,594,,,
31,1,,,-121.9331284,47.5260217,2025-12-10 23:23:19.000,_20251210_152244_CH06_TMO_5GNR_WFC-MT_REF-2_TC151-1.dml,NR SA,,,,,,,,,
32,1,,,-121.9331284,47.5260217,2025-12-10 23:23:20.000,_20251210_152244_CH06_TMO_5GNR_WFC-MT_REF-2_TC151-1.dml,NR SA,,,,,25,594,,,
33,1,,,-121.9331284,47.5260217,2025-12-10 23:23:21.000,_20251210_152244_CH06_TMO_5GNR_WFC-MT_REF-2_TC151-1.dml,NR SA,,,,,25,594,,,
34,1,,,-121.9331284,47.5260217,2025-12-10 23:23:22.000,_20251210_152244_CH06_TMO_5GNR_WFC-MT_REF-2_TC151-1.dml,NR SA,,,,,25,594,,,
35,1,,,-121.9331284,47.5260217,2025-12-10 23:23:23.000,_20251210_152244_CH06_TMO_5GNR_WFC-MT_REF-2_TC151-1.dml,NR SA,,,,,25,594,,,
36,1,,,-121.9331284,47.5260217,2025-12-10 23:23:23.926,_20251210_152244_CH06_TMO_5GNR_WFC-MT_REF-2_TC151-1.dml,,,,-101.000526,,,,,3.950728,0.653429
37,1,,,-121.9331284,47.5260217,2025-12-10 23:23:24.000,_20251210_152244_CH06_TMO_5GNR_WFC-MT_REF-2_TC151-1.dml,NR SA,,,,,,,,,
38,1,,,-121.9331284,47.5260217,2025-12-10 23:23:25.000,_20251210_152244_CH06_TMO_5GNR_WFC-MT_REF-2_TC151-1.dml,NR SA,,,,,25,594,,,
39,1,,,-121.9331284,47.5260217,2025-12-10 23:23:26.000,_20251210_152244_CH06_TMO_5GNR_WFC-MT_REF-2_TC151-1.dml,NR SA,,,,,25,594,,,
40,1,,,-121.9331284,47.5260217,2025-12-10 23:23:27.000,_20251210_152244_CH06_TMO_5GNR_WFC-MT_REF-2_TC151-1.dml,NR SA,,,,,25,594,,,
41,1,,,-121.9331284,47.5260217,2025-12-10 23:23:28.000,_20251210_152244_CH06_TMO_5GNR_WFC-MT_REF-2_TC151-1.dml,NR SA,,,,,25,594,,,
42,1,,,-121.9331284,47.5260217,2025-12-10 23:23:29.000,_20251210_152244_CH06_TMO_5GNR_WFC-MT_REF-2_TC151-1.dml,NR SA,,,,,,,,,
43,1,,,-121.9331284,47.5260217,2025-12-10 23:23:30.000,_20251210_152244_CH06_TMO_5GNR_WFC-MT_REF-2_TC151-1.dml,NR SA,,,,,25,594,,,
44,1,,,-121.9331284,47.5260217,2025-12-10 23:23:31.000,_20251210_152244_CH06_TMO_5GNR_WFC-MT_REF-2_TC151-1.dml,NR SA,,,,,25,594,,,
45,1,,,-121.9331284,47.5260217,2025-12-10 23:23:32.000,_20251210_152244_CH06_TMO_5GNR_WFC-MT_REF-2_TC151-1.dml,NR SA,,,,,25,594,,,
46,1,,,-121.9331284,47.5260217,2025-12-10 23:23:33.000,_20251210_152244_CH06_TMO_5GNR_WFC-MT_REF-2_TC151-1.dml,NR SA,,,,,,,,,
47,1,,,-121.9331284,47.5260217,2025-12-10 23:23:34.000,_20251210_152244_CH06_TMO_5GNR_WFC-MT_REF-2_TC151-1.dml,NR SA,,,,,25,594,,,
48,1,,,-121.9331284,47.5260217,2025-12-10 23:23:35.000,_20251210_152244_CH06_TMO_5GNR_WFC-MT_REF-2_TC151-1.dml,NR SA,,,,,25,594,,,
49,1,,,-121.9331284,47.5260217,2025-12-10 23:23:36.000,_20251210_152244_CH06_TMO_5GNR_WFC-MT_REF-2_TC151-1.dml,NR SA,,,,,25,594,,,
50,1,,,-121.9331284,47.5260217,2025-12-10 23:23:37.000,_20251210_152244_CH06_TMO_5GNR_WFC-MT_REF-2_TC151-1.dml,NR SA,,,,,25,594,,,
51,1,,,-121.9331284,47.5260217,2025-12-10 23:23:37.990,_20251210_152244_CH06_TMO_5GNR_WFC-MT_REF-2_TC151-1.dml,,,,-103.401579,,,,,1.007445,1.510420
52,1,,,-121.9331284,47.5260217,2025-12-10 23:23:38.000,_20251210_152244_CH06_TMO_5GNR_WFC-MT_REF-2_TC151-1.dml,NR SA,,,,,,,,,
53,1,,,-121.9331284,47.5260217,2025-12-10 23:23:39.000,_20251210_152244_CH06_TMO_5GNR_WFC-MT_REF-2_TC151-1.dml,NR SA,,,,,25,594,,,
54,1,,,-121.9331284,47.5260217,2025-12-10 23:23:40.000,_20251210_152244_CH06_TMO_5GNR_WFC-MT_REF-2_TC151-1.dml,NR SA,,,,,25,594,,,
55,1,,,-121.9331284,47.5260217,2025-12-10 23:23:41.000,_20251210_152244_CH06_TMO_5GNR_WFC-MT_REF-2_TC151-1.dml,NR SA,,,,,25,594,,,
56,1,,,-121.9331284,47.5260217,2025-12-10 23:23:42.000,_20251210_152244_CH06_TMO_5GNR_WFC-MT_REF-2_TC151-1.dml,NR SA,,,,,,,,,
57,1,,,-121.9331284,47.5260217,2025-12-10 23:23:43.000,_20251210_152244_CH06_TMO_5GNR_WFC-MT_REF-2_TC151-1.dml,NR SA,,,,,25,594,,,
58,1,,,-121.9331284,47.5260217,2025-12-10 23:23:44.000,_20251210_152244_CH06_TMO_5GNR_WFC-MT_REF-2_TC151-1.dml,NR SA,,,,,25,594,,,
59,1,,,-121.9331284,47.5260217,2025-12-10 23:23:45.000,_20251210_152244_CH06_TMO_5GNR_WFC-MT_REF-2_TC151-1.dml,NR SA,,,,,25,594,,,
60,1,,,-121.9331284,47.5260217,2025-12-10 23:23:46.000,_20251210_152244_CH06_TMO_5GNR_WFC-MT_REF-2_TC151-1.dml,NR SA,,,,,25,594,,,
61,1,,,-121.9331284,47.5260217,2025-12-10 23:23:47.000,_20251210_152244_CH06_TMO_5GNR_WFC-MT_REF-2_TC151-1.dml,NR SA,,,,,,,,,
62,1,,,-121.9331284,47.5260217,2025-12-10 23:23:48.000,_20251210_152244_CH06_TMO_5GNR_WFC-MT_REF-2_TC151-1.dml,NR SA,,,,,25,594,,,
63,1,,,-121.9331284,47.5260217,2025-12-10 23:23:49.000,_20251210_152244_CH06_TMO_5GNR_WFC-MT_REF-2_TC151-1.dml,NR SA,,,,,25,594,,,
64,1,,,-121.9331284,47.5260217,2025-12-10 23:23:50.000,_20251210_152244_CH06_TMO_5GNR_WFC-MT_REF-2_TC151-1.dml,NR SA,,,,,25,594,,,
65,1,,,-121.9331284,47.5260217,2025-12-10 23:23:51.000,_20251210_152244_CH06_TMO_5GNR_WFC-MT_REF-2_TC151-1.dml,NR SA,,,,,,,,,
66,1,,,-121.9331284,47.5260217,2025-12-10 23:23:51.801,_20251210_152244_CH06_TMO_5GNR_WFC-MT_REF-2_TC151-1.dml,,,,-107.771176,,,,,3.926666,0.691559
67,1,,,-121.9331284,47.5260217,2025-12-10 23:23:52.000,_20251210_152244_CH06_TMO_5GNR_WFC-MT_REF-2_TC151-1.dml,NR SA,,,,,25,594,,,
68,1,,,-121.9331284,47.5260217,2025-12-10 23:23:53.000,_20251210_152244_CH06_TMO_5GNR_WFC-MT_REF-2_TC151-1.dml,NR SA,,,,,25,594,,,
69,1,,,-121.9331284,47.5260217,2025-12-10 23:23:54.000,_20251210_152244_CH06_TMO_5GNR_WFC-MT_REF-2_TC151-1.dml,NR SA,,,,,25,594,,,
70,1,,,-121.9331284,47.5260217,2025-12-10 23:23:55.000,_20251210_152244_CH06_TMO_5GNR_WFC-MT_REF-2_TC151-1.dml,NR SA,,,,,25,594,,,
71,1,,,-121.9331284,47.5260217,2025-12-10 23:23:56.000,_20251210_152244_CH06_TMO_5GNR_WFC-MT_REF-2_TC151-1.dml,NR SA,,,,,,,,,
72,1,,,-121.9331284,47.5260217,2025-12-10 23:23:57.000,_20251210_152244_CH06_TMO_5GNR_WFC-MT_REF-2_TC151-1.dml,NR SA,,,,,25,594,,,
73,1,,,-121.9331284,47.5260217,2025-12-10 23:23:58.000,_20251210_152244_CH06_TMO_5GNR_WFC-MT_REF-2_TC151-1.dml,NR SA,,,,,25,594,,,
74,1,,,-121.9331284,47.5260217,2025-12-10 23:23:59.000,_20251210_152244_CH06_TMO_5GNR_WFC-MT_REF-2_TC151-1.dml,NR SA,,,,,25,594,,,
75,1,,,-121.9331284,47.5260217,2025-12-10 23:24:00.000,_20251210_152244_CH06_TMO_5GNR_WFC-MT_REF-2_TC151-1.dml,NR SA,,,,,,,,,
76,1,,,-121.9331284,47.5260217,2025-12-10 23:24:01.000,_20251210_152244_CH06_TMO_5GNR_WFC-MT_REF-2_TC151-1.dml,NR SA,,,,,25,594,,,
77,1,,,-121.9331284,47.5260217,2025-12-10 23:24:02.000,_20251210_152244_CH06_TMO_5GNR_WFC-MT_REF-2_TC151-1.dml,NR SA,,,,,25,594,,,
78,1,,,-121.9331284,47.5260217,2025-12-10 23:24:03.000,_20251210_152244_CH06_TMO_5GNR_WFC-MT_REF-2_TC151-1.dml,NR SA,,,,,25,594,,,
79,1,,,-121.9331284,47.5260217,2025-12-10 23:24:04.000,_20251210_152244_CH06_TMO_5GNR_WFC-MT_REF-2_TC151-1.dml,NR SA,,,,,25,594,,,
80,1,,,-121.9331284,47.5260217,2025-12-10 23:24:05.000,_20251210_152244_CH06_TMO_5GNR_WFC-MT_REF-2_TC151-1.dml,NR SA,,,,,,,,,
81,1,,,-121.9331284,47.5260217,2025-12-10 23:24:05.818,_20251210_152244_CH06_TMO_5GNR_WFC-MT_REF-2_TC151-1.dml,,,,-106.302222,,,,,3.348754,0.699400
82,1,,,-121.9331284,47.5260217,2025-12-10 23:24:06.000,_20251210_152244_CH06_TMO_5GNR_WFC-MT_REF-2_TC151-1.dml,NR SA,,,,,25,594,,,
83,1,,,-121.9331284,47.5260217,2025-12-10 23:24:07.000,_20251210_152244_CH06_TMO_5GNR_WFC-MT_REF-2_TC151-1.dml,NR SA,,,,,25,594,,,
84,1,,,-121.9331284,47.5260217,2025-12-10 23:24:08.000,_20251210_152244_CH06_TMO_5GNR_WFC-MT_REF-2_TC151-1.dml,NR SA,,,,,25,594,,,
85,1,,,-121.9331284,47.5260217,2025-12-10 23:24:09.000,_20251210_152244_CH06_TMO_5GNR_WFC-MT_REF-2_TC151-1.dml,NR SA,,,,,,,,,
86,1,,,-121.9331284,47.5260217,2025-12-10 23:24:10.000,_20251210_152244_CH06_TMO_5GNR_WFC-MT_REF-2_TC151-1.dml,NR SA,,,,,25,594,,,
87,1,,,-121.9331284,47.5260217,2025-12-10 23:24:11.000,_20251210_152244_CH06_TMO_5GNR_WFC-MT_REF-2_TC151-1.dml,NR SA,,,,,25,594,,,
88,1,,,-121.9331284,47.5260217,2025-12-10 23:24:12.000,_20251210_152244_CH06_TMO_5GNR_WFC-MT_REF-2_TC151-1.dml,NR SA,,,,,25,594,,,
89,1,,,-121.9331284,47.5260217,2025-12-10 23:24:13.000,_20251210_152244_CH06_TMO_5GNR_WFC-MT_REF-2_TC151-1.dml,NR SA,,,,,25,594,,,
90,1,,,-121.9331284,47.5260217,2025-12-10 23:24:14.000,_20251210_152244_CH06_TMO_5GNR_WFC-MT_REF-2_TC151-1.dml,NR SA,,,,,,,,,
91,1,,,-121.9331284,47.5260217,2025-12-10 23:24:15.000,_20251210_152244_CH06_TMO_5GNR_WFC-MT_REF-2_TC151-1.dml,NR SA,,,,,25,594,,,
92,1,,,-121.9331284,47.5260217,2025-12-10 23:24:16.000,_20251210_152244_CH06_TMO_5GNR_WFC-MT_REF-2_TC151-1.dml,NR SA,,,,,25,594,,,
93,1,,,-121.9331284,47.5260217,2025-12-10 23:24:17.000,_20251210_152244_CH06_TMO_5GNR_WFC-MT_REF-2_TC151-1.dml,NR SA,,,,,25,594,,,
94,1,,,-121.9331284,47.5260217,2025-12-10 23:24:18.000,_20251210_152244_CH06_TMO_5GNR_WFC-MT_REF-2_TC151-1.dml,NR SA,,,,,,,,,
